HistoricalDataUpdate. ReqId: 1 - Date: 20180706  08:42:00, Open: 15.87, High: 15.93, Low: 15.87, Close: 15.93, Volume: 786, Count: 140, WAP: 15.8945
HistoricalDataUpdate. ReqId: 1 - Date: 20180706  08:42:00, Open: 15.87, High: 15.93, Low: 15.87, Close: 15.92, Volume: 969, Count: 181, WAP: 15.9009
HistoricalDataUpdate. ReqId: 1 - Date: 20180706  08:42:00, Open: 15.87, High: 15.93, Low: 15.87, Close: 15.93, Volume: 985, Count: 189, WAP: 15.9012
HistoricalDataUpdate. ReqId: 1 - Date: 20180706  08:42:00, Open: 15.87, High: 15.93, Low: 15.87, Close: 15.92, Volume: 1084, Count: 220, WAP: 15.9029
HistoricalDataUpdate. ReqId: 1 - Date: 20180706  08:42:00, Open: 15.87, High: 15.93, Low: 15.87, Close: 15.88, Volume: 1257, Count: 255, WAP: 15.9022
HistoricalDataUpdate. ReqId: 1 - Date: 20180706  08:42:00, Open: 15.87, High: 15.93, Low: 15.87, Close: 15.88, Volume: 1490, Count: 266, WAP: 15.8988
HistoricalDataUpdate. ReqId: 1 - Date: 20180706  08:43:00, Open: 15.88, High: 15.89, Low: 15.87, Close: 15.89, Volume: 16, Count: 8, WAP: 15.8816
AMD: - Date: 20180706  08:42:00, Open: 15.87, High: 15.93, Low: 15.87, Close: 15.88, Volume: 1490, Count: 266, WAP: 15.8988
HistoricalDataUpdate. ReqId: 1 - Date: 20180706  08:43:00, Open: 15.88, High: 15.9, Low: 15.87, Close: 15.9, Volume: 47, Count: 24, WAP: 15.8937
HistoricalDataUpdate. ReqId: 1 - Date: 20180706  08:43:00, Open: 15.88, High: 15.91, Low: 15.87, Close: 15.91, Volume: 78, Count: 29, WAP: 15.8998
HistoricalDataUpdate. ReqId: 1 - Date: 20180706  08:43:00, Open: 15.88, High: 15.92, Low: 15.87, Close: 15.92, Volume: 105, Count: 39, WAP: 15.9051
HistoricalDataUpdate. ReqId: 1 - Date: 20180706  08:43:00, Open: 15.88, High: 15.92, Low: 15.87, Close: 15.91, Volume: 215, Count: 68, WAP: 15.9125
HistoricalDataUpdate. ReqId: 1 - Date: 20180706  08:43:00, Open: 15.88, High: 15.92, Low: 15.87, Close: 15.91, Volume: 219, Count: 71, WAP: 15.9124
HistoricalDataUpdate. ReqId: 1 - Date: 20180706  08:43:00, Open: 15.88, High: 15.92, Low: 15.87, Close: 15.92, Volume: 407, Count: 91, WAP: 15.9159
HistoricalDataUpdate. ReqId: 1 - Date: 20180706  08:43:00, Open: 15.88, High: 15.92, Low: 15.87, Close: 15.92, Volume: 426, Count: 97, WAP: 15.9161
HistoricalDataUpdate. ReqId: 1 - Date: 20180706  08:43:00, Open: 15.88, High: 15.92, Low: 15.87, Close: 15.91, Volume: 439, Count: 102, WAP: 15.9159
HistoricalDataUpdate. ReqId: 1 - Date: 20180706  08:43:00, Open: 15.88, High: 15.92, Low: 15.87, Close: 15.88, Volume: 582, Count: 124, WAP: 15.9114
HistoricalDataUpdate. ReqId: 1 - Date: 20180706  08:43:00, Open: 15.88, High: 15.92, Low: 15.87, Close: 15.87, Volume: 608, Count: 135, WAP: 15.9097
HistoricalDataUpdate. ReqId: 1 - Date: 20180706  08:43:00, Open: 15.88, High: 15.92, Low: 15.86, Close: 15.87, Volume: 611, Count: 137, WAP: 15.9095
HistoricalDataUpdate. ReqId: 1 - Date: 20180706  08:44:00, Open: 15.86, High: 15.87, Low: 15.86, Close: 15.87, Volume: 62, Count: 14, WAP: 15.8618
AMD: - Date: 20180706  08:43:00, Open: 15.88, High: 15.92, Low: 15.86, Close: 15.87, Volume: 611, Count: 137, WAP: 15.9095
HistoricalDataUpdate. ReqId: 1 - Date: 20180706  08:44:00, Open: 15.86, High: 15.91, Low: 15.86, Close: 15.91, Volume: 365, Count: 64, WAP: 15.8945
HistoricalDataUpdate. ReqId: 1 - Date: 20180706  08:44:00, Open: 15.86, High: 15.91, Low: 15.86, Close: 15.9, Volume: 477, Count: 92, WAP: 15.8968
HistoricalDataUpdate. ReqId: 1 - Date: 20180706  08:44:00, Open: 15.86, High: 15.91, Low: 15.86, Close: 15.91, Volume: 541, Count: 99, WAP: 15.8984
HistoricalDataUpdate. ReqId: 1 - Date: 20180706  08:44:00, Open: 15.86, High: 15.93, Low: 15.86, Close: 15.93, Volume: 823, Count: 118, WAP: 15.9059
HistoricalDataUpdate. ReqId: 1 - Date: 20180706  08:44:00, Open: 15.86, High: 15.93, Low: 15.86, Close: 15.92, Volume: 823, Count: 118, WAP: 15.9059
HistoricalDataUpdate. ReqId: 1 - Date: 20180706  08:44:00, Open: 15.86, High: 15.93, Low: 15.86, Close: 15.93, Volume: 967, Count: 136, WAP: 15.9094
HistoricalDataUpdate. ReqId: 1 - Date: 20180706  08:44:00, Open: 15.86, High: 15.93, Low: 15.86, Close: 15.93, Volume: 973, Count: 139, WAP: 15.9096
HistoricalDataUpdate. ReqId: 1 - Date: 20180706  08:44:00, Open: 15.86, High: 15.94, Low: 15.86, Close: 15.94, Volume: 1056, Count: 164, WAP: 15.912
HistoricalDataUpdate. ReqId: 1 - Date: 20180706  08:44:00, Open: 15.86, High: 15.95, Low: 15.86, Close: 15.94, Volume: 1103, Count: 171, WAP: 15.9135
HistoricalDataUpdate. ReqId: 1 - Date: 20180706  08:44:00, Open: 15.86, High: 15.95, Low: 15.86, Close: 15.95, Volume: 1116, Count: 174, WAP: 15.9139
HistoricalDataUpdate. ReqId: 1 - Date: 20180706  08:44:00, Open: 15.86, High: 15.96, Low: 15.86, Close: 15.95, Volume: 1466, Count: 215, WAP: 15.9225
